,coder_3,coder_1,coder_4,coder_2
Chalon,LOCATION,LOCATION,LOCATION,LOCATION
Robinette Dardongne,PERSON,PERSON,PERSON,PERSON
Ochoa Dardogne,PERSON,PERSON,PERSON,PERSON
bailliage de Sens,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
Jeanne de Villiers,PERSON,PERSON,PERSON,PERSON
Dijon,LOCATION,LOCATION,LOCATION,LOCATION
Jean Le Denoys,PERSON,PERSON,PERSON,PERSON
Gevrey-en-Montagne,LOCATION,LOCATION,LOCATION,LOCATION
bailliage de Dijon,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
chambellan du roi,TITLE,TITLE,TITLE,TITLE
Côte-d'Or,LOCATION,LOCATION,LOCATION,LOCATION
Georges de la Trémoille,PERSON,PERSON,PERSON,PERSON
Courcelles-lès-Semur,LOCATION,LOCATION,LOCATION,LOCATION
Regnault Paturel,PERSON,PERSON,PERSON,PERSON
"VALETON, Moris",PERSON,PERSON,PERSON,PERSON
"VALLA, Georges",PERSON,PERSON,PERSON,PERSON
VALLÉE,PERSON,PERSON,PERSON,PERSON
rue des Marmousets,LOCATION,LOCATION,LOCATION,LOCATION
Louis Damoure,PERSON,PERSON,PERSON,PERSON
rue Du Sommerard,LOCATION,LOCATION,LOCATION,LOCATION
Paul Charpentier,PERSON,PERSON,PERSON,PERSON
faulxbourg Saint-Jacques,LOCATION,LOCATION,LOCATION,LOCATION
"Saint-Jacques, rue",LOCATION,LOCATION,LOCATION,LOCATION
Châtillon,LOCATION,LOCATION,LOCATION,LOCATION
Villejuif,LOCATION,LOCATION,LOCATION,LOCATION
Landes,LOCATION,LOCATION,LOCATION,LOCATION
service des naturalisations,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
service départemental de défense contre les incendies de forêt,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
Theil,PERSON,PERSON,PERSON,PERSON
professeur agrégé,TITLE,TITLE,TITLE,TITLE
Paris,LOCATION,LOCATION,LOCATION,LOCATION
Thibault,PERSON,PERSON,PERSON,PERSON
François Aigon,PERSON,PERSON,PERSON,PERSON
perruquier,TITLE,TITLE,TITLE,TITLE
"5, rue de Grenelle-Saint-Honoré",LOCATION,LOCATION,LOCATION,LOCATION
Françoise Aigon,PERSON,PERSON,PERSON,PERSON
Joseph Gonod,PERSON,PERSON,PERSON,PERSON
Renouval,LOCATION,LOCATION,LOCATION,LOCATION
Seine-et-Oise,LOCATION,LOCATION,LOCATION,LOCATION
F Benoist,PERSON,PERSON,PERSON,PERSON
ingénieur,TITLE,TITLE,TITLE,TITLE
Loiret,LOCATION,LOCATION,LOCATION,LOCATION
Saumur,LOCATION,LOCATION,LOCATION,LOCATION
Maine-et-Loire,LOCATION,LOCATION,LOCATION,LOCATION
La Charité,LOCATION,LOCATION,LOCATION,LOCATION
Nièvre,LOCATION,LOCATION,LOCATION,LOCATION
Californie,LOCATION,LOCATION,LOCATION,LOCATION
James F GREGORY,PERSON,PERSON,PERSON,PERSON
Cadoudal,PERSON,PERSON,PERSON,PERSON
général,TITLE,TITLE,TITLE,TITLE
Sénat,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
Cavour,PERSON,PERSON,PERSON,PERSON
Charles XV,PERSON,PERSON,PERSON,PERSON
roi de Suède,TITLE,TITLE,TITLE,TITLE
Chevalier (Michel),PERSON,PERSON,PERSON,PERSON
exposition universelle de 1862,EVENT,EVENT,EVENT,EVENT
sous-lieutenant,TITLE,TITLE,TITLE,TITLE
Jacques Fonteneau,PERSON,PERSON,PERSON,PERSON
France,LOCATION,LOCATION,LOCATION,LOCATION
Auxerre,LOCATION,LOCATION,LOCATION,LOCATION
Allemagne,LOCATION,LOCATION,LOCATION,LOCATION
Berlin,LOCATION,LOCATION,LOCATION,LOCATION
Seine-Maritime,LOCATION,LOCATION,LOCATION,LOCATION
Allonville-Bellefosse,LOCATION,LOCATION,LOCATION,LOCATION
Berneval-sur-Mer,LOCATION,LOCATION,LOCATION,LOCATION
Bernières,LOCATION,LOCATION,LOCATION,LOCATION
cap d'Antifer,LOCATION,LOCATION,LOCATION,LOCATION
Caudebec,LOCATION,LOCATION,LOCATION,LOCATION
Dieppe,LOCATION,LOCATION,LOCATION,LOCATION
Doudeville,LOCATION,LOCATION,LOCATION,LOCATION
Fécamp,LOCATION,LOCATION,LOCATION,LOCATION
Furelaud André Pierre,PERSON,PERSON,PERSON,PERSON
"Furet Jacques, pseudonyme « Fabulous »",PERSON,PERSON,PERSON,PERSON
"Gayet, Auguste Claude",PERSON,PERSON,PERSON,PERSON
Jean Cramier,PERSON,PERSON,PERSON,PERSON
Catherine Barthon,PERSON,PERSON,PERSON,PERSON
14 rue de Fontarabie,LOCATION,LOCATION,LOCATION,LOCATION
torrent de Bionnassay,LOCATION,LOCATION,LOCATION,LOCATION
glacier de Bionnassay,LOCATION,LOCATION,LOCATION,LOCATION
